LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender,CD,NAICSTitle
149957.5,Honolulu,HI,96813,238220,Corporation,Unanswered,Unanswered,Unanswered,False,14.0,2020-04-16T00:00:00Z,First Hawaiian Bank,HI-01,Plumbing and hvac contractors
149900.0,Honolulu,HI,96814,541990,Non-Profit Organization,Unanswered,Unanswered,Unanswered,True,17.0,2020-04-08T00:00:00Z,First Hawaiian Bank,HI-01,"All other professional, scientific, and technical services"
149800.0,Honolulu,HI,96816,722511,Corporation,Asian,Male Owned,Non-Veteran,False,42.0,2020-04-12T00:00:00Z,Central Pacific Bank,HI-01,Full-service restaurants
149800.0,Honolulu,HI,96815,722511,Corporation,Unanswered,Unanswered,Unanswered,False,27.0,2020-05-27T00:00:00Z,"American Savings Bank, FSB",HI-01,Full-service restaurants
149700.0,Aiea,HI,96701,621111,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,False,10.0,2020-04-06T00:00:00Z,"American Savings Bank, FSB",HI-01,Offices of physicians (except mental health specialists)
149657.0,Captain Cook,HI,96704,721110,Corporation,Unanswered,Male Owned,Non-Veteran,False,,2020-04-16T00:00:00Z,Bank of Hawaii,HI-02,Hotels (except casino hotels) and motels
149615.0,Honolulu,HI,96816,621210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,False,,2020-04-11T00:00:00Z,Bank of Hawaii,HI-01,Offices of dentists
149500.0,Kailua Kona,HI,96740,487110,Corporation,Unanswered,Unanswered,Unanswered,False,18.0,2020-04-09T00:00:00Z,First Hawaiian Bank,HI-02,"Scenic and sightseeing transportation, land"
149455.0,Mililani,HI,96789,238990,Limited Liability Company,Unanswered,Male Owned,Unanswered,False,15.0,2020-05-08T00:00:00Z,Bank of Hawaii,HI-01,All other specialty trade contractors
149400.0,Honolulu,HI,96815,722511,Corporation,Unanswered,Unanswered,Unanswered,False,33.0,2020-04-10T00:00:00Z,First Hawaiian Bank,HI-01,Full-service restaurants
149400.0,Honokaa,HI,96727,722310,Corporation,Unanswered,Male Owned,Veteran,False,41.0,2020-04-10T00:00:00Z,First Bank,HI-02,Food service contractors
149392.0,Kilauea,HI,96754,722513,Corporation,Unanswered,Unanswered,Unanswered,False,0.0,2020-05-11T00:00:00Z,Central Pacific Bank,HI-02,Limited-service restaurants
149320.0,Kahului,HI,96732,238220,Limited Liability Company,White,Male Owned,Unanswered,False,,2020-04-12T00:00:00Z,Bank of Hawaii,HI-02,Plumbing and hvac contractors
149300.0,Puunene,HI,96784,238990,Corporation,Unanswered,Unanswered,Unanswered,False,0.0,2020-05-08T00:00:00Z,Central Pacific Bank,HI-02,All other specialty trade contractors
149300.0,Lihue,HI,96766,236220,Limited Liability Company,Unanswered,Unanswered,Unanswered,False,11.0,2020-04-06T00:00:00Z,Central Pacific Bank,HI-02,Commercial and institutional building construction
149200.0,Honolulu,HI,96814,541512,Corporation,Unanswered,Unanswered,Unanswered,False,7.0,2020-04-07T00:00:00Z,"American Savings Bank, FSB",HI-01,Computer systems design services
149100.0,Lahaina,HI,96761,713990,Corporation,Unanswered,Male Owned,Unanswered,False,76.0,2020-04-13T00:00:00Z,First Hawaiian Bank,HI-02,All other amusement and recreation industries
149100.0,Honolulu,HI,96813,541611,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,False,10.0,2020-04-14T00:00:00Z,First Hawaiian Bank,HI-01,Administrative management and general management consulting services
149000.0,Kapaa,HI,96746,722511,Limited Liability Company,Unanswered,Unanswered,Unanswered,False,26.0,2020-04-09T00:00:00Z,First Hawaiian Bank,HI-02,Full-service restaurants
148900.0,Kamuela,HI,96743,722310,Limited Liability Company,Unanswered,Unanswered,Unanswered,False,13.0,2020-04-16T00:00:00Z,First Hawaiian Bank,HI-02,Food service contractors
148900.0,Hilo,HI,96720,238140,Corporation,Unanswered,Male Owned,Non-Veteran,False,17.0,2020-04-16T00:00:00Z,First Hawaiian Bank,HI-02,Masonry contractors
148900.0,Kahului,HI,96732,531390,Corporation,Unanswered,Unanswered,Unanswered,False,0.0,2020-05-07T00:00:00Z,Central Pacific Bank,HI-02,Other activities related to real estate
148900.0,Aiea,HI,96701,238110,Corporation,Unanswered,Unanswered,Unanswered,False,13.0,2020-04-09T00:00:00Z,Central Pacific Bank,HI-01,Poured concrete structure contractors
148722.0,Honolulu,HI,96819,238220,Limited Liability Company,Unanswered,Unanswered,Unanswered,False,80.0,2020-04-28T00:00:00Z,First Hawaiian Bank,HI-01,Plumbing and hvac contractors
148700.0,Kapolei,HI,96707,621210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,False,13.0,2020-04-05T00:00:00Z,Central Pacific Bank,HI-02,Offices of dentists
148700.0,Honolulu,HI,96816,238350,Limited Liability Company,Unanswered,Unanswered,Unanswered,False,20.0,2020-04-09T00:00:00Z,Central Pacific Bank,HI-01,Finish carpentry contractors
148600.0,Honolulu,HI,96813,611610,Corporation,Unanswered,Unanswered,Unanswered,False,42.0,2020-04-04T00:00:00Z,First Hawaiian Bank,HI-01,Fine arts schools
148600.0,Ewa Beach,HI,96706,485999,Corporation,Unanswered,Unanswered,Unanswered,False,17.0,2020-04-06T00:00:00Z,"American Savings Bank, FSB",HI-01,All other transit and ground passenger transportation
148600.0,Mountain View,HI,96771,424690,Corporation,Unanswered,Unanswered,Unanswered,False,14.0,2020-04-07T00:00:00Z,"American Savings Bank, FSB",HI-02,Other chemical and allied products merchant wholesalers
148595.0,Aiea,HI,96701,531311,Limited Liability Company,Unanswered,Unanswered,Unanswered,False,,2020-04-15T00:00:00Z,Bank of Hawaii,HI-01,Residential property managers
148500.0,Lahaina,HI,96761,561520,Corporation,White,Male Owned,Non-Veteran,False,13.0,2020-04-15T00:00:00Z,First Hawaiian Bank,HI-02,Tour operators
148500.0,Kailua,HI,96734,444190,Corporation,White,Male Owned,Non-Veteran,False,10.0,2020-04-04T00:00:00Z,"American Savings Bank, FSB",HI-02,Other building material dealers
148500.0,Kailua,HI,96734,238210,Corporation,Unanswered,Unanswered,Unanswered,False,16.0,2020-04-14T00:00:00Z,First Hawaiian Bank,HI-02,Electrical and wiring contractors
148400.0,Honolulu,HI,96814,446120,Corporation,Unanswered,Unanswered,Unanswered,False,23.0,2020-04-15T00:00:00Z,First Hawaiian Bank,HI-01,Cosmetic and beauty supply stores
148400.0,Honolulu,HI,96814,541211,Corporation,Unanswered,Unanswered,Unanswered,False,7.0,2020-04-07T00:00:00Z,First Hawaiian Bank,HI-01,Offices of certified public accountants
148300.0,Pearl City,HI,96782,325199,Limited Liability Company,Unanswered,Unanswered,Unanswered,False,20.0,2020-04-04T00:00:00Z,Central Pacific Bank,HI-01,All other basic organic chemical manufacturing
148292.0,Lahaina,HI,96761,722511,Limited Liability Company,Unanswered,Unanswered,Unanswered,False,20.0,2020-05-07T00:00:00Z,Bank of Hawaii,HI-02,Full-service restaurants
148200.0,Kapaa,HI,96746,561612,Corporation,Asian,Male Owned,Non-Veteran,False,23.0,2020-04-15T00:00:00Z,Central Pacific Bank,HI-02,Security guards and patrol services
148200.0,Kahului,HI,96732,441320,Subchapter S Corporation,Unanswered,Male Owned,Veteran,False,15.0,2020-04-30T00:00:00Z,First Hawaiian Bank,HI-02,Tire dealers
148100.0,Honolulu,HI,96814,722410,Corporation,Unanswered,Unanswered,Unanswered,False,0.0,2020-05-05T00:00:00Z,Central Pacific Bank,HI-01,Drinking places (alcoholic beverages)
148000.0,Kahului,HI,96732,722513,Limited Liability Company,Unanswered,Female Owned,Non-Veteran,False,28.0,2020-04-03T00:00:00Z,"American Savings Bank, FSB",HI-02,Limited-service restaurants
148000.0,Honolulu,HI,96814,541310,Corporation,Unanswered,Unanswered,Unanswered,False,11.0,2020-04-09T00:00:00Z,Central Pacific Bank,HI-01,Architectural services
147972.5,Honolulu,HI,96826,531210,Limited Liability Company,Unanswered,Unanswered,Unanswered,False,13.0,2020-04-28T00:00:00Z,First Hawaiian Bank,HI-01,Offices of real estate agents and brokers
147900.0,Honolulu,HI,96826,541310,Limited Liability Company,Unanswered,Unanswered,Unanswered,False,9.0,2020-04-05T00:00:00Z,Central Pacific Bank,HI-01,Architectural services
147800.0,Honolulu,HI,96819,445210,Corporation,Unanswered,Unanswered,Unanswered,False,17.0,2020-04-06T00:00:00Z,Central Pacific Bank,HI-01,Meat markets
147800.0,Wailuku,HI,96793,541110,Sole Proprietorship,Unanswered,Unanswered,Unanswered,False,8.0,2020-04-27T00:00:00Z,First Hawaiian Bank,HI-02,Offices of lawyers
147700.0,Hilo,HI,96720,621111,Sole Proprietorship,Unanswered,Unanswered,Unanswered,False,,2020-04-12T00:00:00Z,Bank of Hawaii,HI-02,Offices of physicians (except mental health specialists)
147700.0,Kailua Kona,HI,96740,561990,Limited Liability Company,Unanswered,Male Owned,Non-Veteran,False,13.0,2020-04-07T00:00:00Z,"American Savings Bank, FSB",HI-02,All other support services
147500.0,Lihue,HI,96766,423990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,False,,2020-04-13T00:00:00Z,Bank of Hawaii,HI-02,Other miscellaneous durable goods merchant wholesalers
147487.0,Honolulu,HI,96813,213111,Corporation,Unanswered,Unanswered,Unanswered,False,7.0,2020-04-27T00:00:00Z,First Hawaiian Bank,HI-01,Drilling oil and gas wells
147400.0,Honolulu,HI,96826,238990,Corporation,Unanswered,Male Owned,Non-Veteran,False,0.0,2020-04-30T00:00:00Z,Central Pacific Bank,HI-01,All other specialty trade contractors
147312.5,Lahaina,HI,96761,453920,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,False,12.0,2020-04-30T00:00:00Z,First Hawaiian Bank,HI-02,Art dealers
147300.0,Honolulu,HI,96813,811121,Corporation,Unanswered,Unanswered,Unanswered,False,11.0,2020-04-06T00:00:00Z,First Hawaiian Bank,HI-01,"Automotive body, paint, and interior repair and maintenance"
147294.0,Honolulu,HI,96817,561320,Limited Liability Company,Unanswered,Unanswered,Unanswered,False,13.0,2020-07-24T00:00:00Z,"Kabbage, Inc.",HI-01,Temporary help services
147117.5,Lahaina,HI,96761,713990,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,False,12.0,2020-04-27T00:00:00Z,First Hawaiian Bank,HI-02,All other amusement and recreation industries
147030.0,Aiea,HI,96701,326111,Corporation,Unanswered,Male Owned,Non-Veteran,False,,2020-04-11T00:00:00Z,Bank of Hawaii,HI-01,Plastics bag and pouch manufacturing
147000.0,Honolulu,HI,96817,524292,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,False,20.0,2020-04-28T00:00:00Z,"TransPecos Banks, SSB.",HI-01,Pharmacy benefit management and other third party administration of insurance and pension funds
146997.5,Puunene,HI,96784,238120,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,False,7.0,2020-05-01T00:00:00Z,First Hawaiian Bank,HI-02,Steel and precast concrete contractors
146960.0,Honolulu,HI,96813,541110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,True,,2020-04-28T00:00:00Z,Bank of Hawaii,HI-01,Offices of lawyers
146800.0,Hilo,HI,96720,624229,Non-Profit Organization,Unanswered,Unanswered,Unanswered,True,13.0,2020-04-14T00:00:00Z,First Hawaiian Bank,HI-02,Other community housing services
146675.0,Lihue,HI,96766,624190,Non-Profit Organization,Unanswered,Unanswered,Unanswered,True,19.0,2020-04-29T00:00:00Z,First Hawaiian Bank,HI-02,Other individual and family services
146641.0,Kapaa,HI,96746,522390,Corporation,Unanswered,Unanswered,Unanswered,False,25.0,2020-05-03T00:00:00Z,Cross River Bank,HI-02,Other activities related to credit intermediation
146600.0,Hilo,HI,96720,722511,Corporation,Unanswered,Unanswered,Unanswered,False,0.0,2020-05-06T00:00:00Z,Central Pacific Bank,HI-02,Full-service restaurants
146600.0,Honolulu,HI,96826,561510,Corporation,Unanswered,Unanswered,Unanswered,False,15.0,2020-04-14T00:00:00Z,First Hawaiian Bank,HI-01,Travel agencies
146500.0,Kailua Kona,HI,96740,811121,Corporation,Unanswered,Unanswered,Unanswered,False,0.0,2020-04-30T00:00:00Z,Central Pacific Bank,HI-02,"Automotive body, paint, and interior repair and maintenance"
146300.0,Honolulu,HI,96819,541211,Limited Liability Company,Unanswered,Male Owned,Unanswered,False,11.0,2020-04-03T00:00:00Z,"American Savings Bank, FSB",HI-01,Offices of certified public accountants
146300.0,Honolulu,HI,96813,531312,Corporation,Unanswered,Unanswered,Unanswered,False,12.0,2020-04-14T00:00:00Z,First Hawaiian Bank,HI-01,Nonresidential property managers
146255.0,Honolulu,HI,96817,561990,Limited Liability Company,Unanswered,Unanswered,Unanswered,False,30.0,2020-04-30T00:00:00Z,First Hawaiian Bank,HI-01,All other support services
146200.0,Honolulu,HI,96819,238220,Limited Liability Company,Asian,Male Owned,Veteran,False,9.0,2020-04-04T00:00:00Z,Hawaii National Bank,HI-01,Plumbing and hvac contractors
146200.0,Kahului,HI,96732,812199,Limited Liability Company,Unanswered,Male Owned,Non-Veteran,False,32.0,2020-04-09T00:00:00Z,"American Savings Bank, FSB",HI-02,Other personal care services
146100.0,Honolulu,HI,96815,531312,Corporation,Unanswered,Unanswered,Unanswered,False,21.0,2020-04-10T00:00:00Z,First Hawaiian Bank,HI-01,Nonresidential property managers
146100.0,Waipahu,HI,96797,621111,Limited Liability Company,Hispanic,Male Owned,Unanswered,False,10.0,2020-04-04T00:00:00Z,"American Savings Bank, FSB",HI-01,Offices of physicians (except mental health specialists)
146077.5,Honolulu,HI,96815,722511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,False,47.0,2020-04-15T00:00:00Z,First Hawaiian Bank,HI-01,Full-service restaurants
146000.0,Waipahu,HI,96797,423120,Corporation,Unanswered,Unanswered,Unanswered,False,20.0,2020-04-10T00:00:00Z,First Hawaiian Bank,HI-01,Motor vehicle supplies and new parts merchant wholesalers
146000.0,Kailua Kona,HI,96745,561320,Limited Liability Company,Unanswered,Unanswered,Unanswered,False,8.0,2020-04-05T00:00:00Z,Bank of Hawaii,HI-02,Temporary help services
146000.0,Kailua,HI,96734,811219,Corporation,Unanswered,Unanswered,Unanswered,False,11.0,2020-04-28T00:00:00Z,Central Pacific Bank,HI-02,Other electronic equipment repair
146000.0,Honolulu,HI,96813,621111,Corporation,Unanswered,Unanswered,Unanswered,False,10.0,2020-04-07T00:00:00Z,"American Savings Bank, FSB",HI-01,Offices of physicians (except mental health specialists)
145905.0,Honolulu,HI,96819,444190,Corporation,Unanswered,Unanswered,Unanswered,False,,2020-04-13T00:00:00Z,Bank of Hawaii,HI-01,Other building material dealers
145900.0,Honolulu,HI,96817,541310,Corporation,Unanswered,Unanswered,Unanswered,False,9.0,2020-04-08T00:00:00Z,Central Pacific Bank,HI-01,Architectural services
145833.35,Lihue,HI,96766,523999,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,False,,2020-04-07T00:00:00Z,Kaua'i Government Employees' FCU,HI-02,Miscellaneous financial investment activities
145830.0,Kaunakakai,HI,96748,423440,Corporation,Unanswered,Unanswered,Unanswered,False,,2020-06-22T00:00:00Z,Bank of Hawaii,HI-02,Other commercial equipment merchant wholesalers
145800.0,Kula,HI,96790,111998,Corporation,Black or African American,Female Owned,Non-Veteran,False,12.0,2020-04-10T00:00:00Z,"American Savings Bank, FSB",HI-02,All other miscellaneous crop farming
145800.0,Honolulu,HI,96814,517311,Limited Liability Company,Unanswered,Unanswered,Unanswered,False,10.0,2020-04-09T00:00:00Z,First Hawaiian Bank,HI-01,Wired telecommunications carriers
145790.0,Honolulu,HI,96823,238110,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,False,17.0,2020-04-27T00:00:00Z,First Hawaiian Bank,HI-01,Poured concrete structure contractors
145700.0,Honolulu,HI,96815,621210,Limited Liability Company,Unanswered,Unanswered,Unanswered,False,12.0,2020-04-12T00:00:00Z,Central Pacific Bank,HI-01,Offices of dentists
145700.0,Waipahu,HI,96797,238210,Limited Liability Company,Asian,Male Owned,Non-Veteran,False,14.0,2020-05-08T00:00:00Z,Hawaii National Bank,HI-01,Electrical and wiring contractors
145635.0,Honolulu,HI,96819,541690,Limited Liability Company,Asian,Unanswered,Unanswered,False,,2020-04-14T00:00:00Z,Bank of Hawaii,HI-01,Other scientific and technical consulting services
145595.0,Koloa,HI,96756,487210,Sole Proprietorship,Unanswered,Unanswered,Unanswered,False,25.0,2020-04-30T00:00:00Z,First Hawaiian Bank,HI-02,"Scenic and sightseeing transportation, water"
145500.0,Hilo,HI,96720,541310,Limited Liability Company,White,Male Owned,Unanswered,False,8.0,2020-04-06T00:00:00Z,First Hawaiian Bank,HI-02,Architectural services
145500.0,Honolulu,HI,96816,621210,Corporation,Asian,Male Owned,Non-Veteran,False,13.0,2020-04-08T00:00:00Z,"American Savings Bank, FSB",HI-01,Offices of dentists
145300.0,Honolulu,HI,96813,541910,Corporation,Unanswered,Unanswered,Unanswered,False,,2020-04-12T00:00:00Z,Bank of Hawaii,HI-01,Marketing research and public opinion polling
145300.0,Honolulu,HI,96817,236118,Corporation,Asian,Male Owned,Unanswered,False,14.0,2020-04-05T00:00:00Z,"American Savings Bank, FSB",HI-01,Residential remodelers
145200.0,Kahului,HI,96732,532299,Corporation,White,Unanswered,Unanswered,False,18.0,2020-04-04T00:00:00Z,"American Savings Bank, FSB",HI-02,All other consumer goods rental
145190.0,Honolulu,HI,96817,424420,Corporation,Unanswered,Unanswered,Unanswered,False,16.0,2020-04-28T00:00:00Z,First Hawaiian Bank,HI-01,Packaged frozen food merchant wholesalers
145012.5,Honolulu,HI,96814,561520,Corporation,Unanswered,Unanswered,Unanswered,False,11.0,2020-04-14T00:00:00Z,First Hawaiian Bank,HI-01,Tour operators
145010.0,Hilo,HI,96720,451110,Corporation,Unanswered,Male Owned,Non-Veteran,False,,2020-04-15T00:00:00Z,Bank of Hawaii,HI-02,Sporting goods stores
145000.0,Kealakekua,HI,96750,424490,Limited Liability Company,Unanswered,Unanswered,Unanswered,False,10.0,2020-04-05T00:00:00Z,Central Pacific Bank,HI-02,Other grocery and related products merchant wholesalers
145000.0,Honolulu,HI,96819,312112,Limited Liability Company,Unanswered,Unanswered,Unanswered,False,,2020-04-14T00:00:00Z,Central Pacific Bank,HI-01,Bottled water manufacturing
145000.0,Kailua Kona,HI,96745,236115,Limited Liability Company,Unanswered,Unanswered,Unanswered,False,,2020-04-15T00:00:00Z,Central Pacific Bank,HI-02,New single-family housing construction (except for-sale builders)
144990.0,Kamuela,HI,96743,484122,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,False,17.0,2020-04-28T00:00:00Z,First Hawaiian Bank,HI-02,"General freight trucking, long-distance, less than truckload"
144930.0,Honolulu,HI,96825,238110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,False,,2020-04-12T00:00:00Z,Bank of Hawaii,HI-01,Poured concrete structure contractors
144900.0,Honolulu,HI,96813,621111,Corporation,Asian,Male Owned,Non-Veteran,False,12.0,2020-04-09T00:00:00Z,Ohana Pacific Bank,HI-01,Offices of physicians (except mental health specialists)
144900.0,Honolulu,HI,96815,621610,Limited Liability Company,Unanswered,Unanswered,Unanswered,False,23.0,2020-05-01T00:00:00Z,"American Savings Bank, FSB",HI-01,Home health care services
144872.0,Honolulu,HI,96819,334511,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,False,6.0,2020-05-04T00:00:00Z,First Hawaiian Bank,HI-01,"Search, detection, navigation, guidance, aeronautical, and nautical system and instrument manufacturing"
144800.0,Ewa Beach,HI,96706,621210,Corporation,Unanswered,Unanswered,Unanswered,False,10.0,2020-04-07T00:00:00Z,Central Pacific Bank,HI-01,Offices of dentists
